Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
Working,0,Education - Special Education,Female,Curry School of Education,1,0
Working,1,Education - Special Education,Female,Curry School of Education,1,1
Working,1,Education - Special Education,Female,Curry School of Education,1,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Education - Educational Psychology,Female,Curry School of Education,1,0
Working,0,Experimental Pathology,Male,School of Medicine,1,0
Working,0,Physics,Male,College and Graduate School of Arts & Sciences,1,0
Military,0,Religious Studies,Female,College and Graduate School of Arts & Sciences,0,0
Still Looking,1,Public Health,Female,School of Medicine,0,1
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Still Looking,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,0
Still Looking,0,Architecture - Landscape Architecture,Female,School of Architecture,0,0
Working,0,East Asian Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0
Not Seeking,1,Architecture - Landscape Architecture,Male,School of Architecture,0,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,0,Data Science,Male,School of Data Science,0,0
Still Looking,1,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,0,1
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,0,English,Female,College and Graduate School of Arts & Sciences,0,0
